"","Date","Beach","Attendance","Month","Year"
"364","07/11/2017","Rockaway",19500,"July","2017"
"365","07/11/2017","Midland",1900,"July","2017"
"366","07/11/2017","South beach",2800,"July","2017"
"367","07/11/2017","Wolfe's Pond",150,"July","2017"
"368","07/11/2017","Cedar Grove",125,"July","2017"
"369","07/12/2017","Orchard",2400,"July","2017"
"370","07/12/2017","Coney Island",8000,"July","2017"
"371","07/12/2017","Manhattan",2000,"July","2017"
"372","07/12/2017","Rockaway",25500,"July","2017"
"373","07/12/2017","Midland",1350,"July","2017"
"374","07/12/2017","South beach",1950,"July","2017"
"375","07/12/2017","Wolfe's Pond",60,"July","2017"
"376","07/12/2017","Cedar Grove",80,"July","2017"
"377","07/13/2017","Orchard",0,"July","2017"
"378","07/13/2017","Coney Island",1450,"July","2017"
"379","07/13/2017","Manhattan",100,"July","2017"
"380","07/13/2017","Rockaway",400,"July","2017"
"381","07/13/2017","Midland",300,"July","2017"
"382","07/13/2017","South beach",450,"July","2017"
"383","07/13/2017","Wolfe's Pond",0,"July","2017"
"384","07/13/2017","Cedar Grove",8,"July","2017"
"385","07/14/2017","Orchard",45550,"July","2017"
"386","07/14/2017","Coney Island",278000,"July","2017"
"387","07/14/2017","Manhattan",5200,"July","2017"
"388","07/14/2017","Rockaway",206200,"July","2017"
"389","07/14/2017","Midland",5500,"July","2017"
"390","07/14/2017","South beach",5100,"July","2017"
"391","07/14/2017","Wolfe's Pond",355,"July","2017"
"392","07/14/2017","Cedar Grove",225,"July","2017"
"393","07/15/2017","Orchard",101348,"July","2017"
"394","07/15/2017","Coney Island",385000,"July","2017"
"395","07/15/2017","Manhattan",6800,"July","2017"
"396","07/15/2017","Rockaway",254000,"July","2017"
"397","07/15/2017","Midland",19500,"July","2017"
"398","07/15/2017","South beach",20000,"July","2017"
"399","07/15/2017","Wolfe's Pond",1390,"July","2017"
"400","07/15/2017","Cedar Grove",800,"July","2017"
"401","07/16/2017","Orchard",6350,"July","2017"
"402","07/16/2017","Coney Island",18000,"July","2017"
"403","07/16/2017","Manhattan",1300,"July","2017"
"404","07/16/2017","Rockaway",25500,"July","2017"
"405","07/16/2017","Midland",2200,"July","2017"
